,Enzyme Common Name,,EnzymeId,BioCyn ID
13518,ORF,primary,,FBGN0051920-MONOMER
13519,ORF,primary,,FBGN0030889-MONOMER
13520,ORF,primary,,FBGN0053792-MONOMER
13521,microtubule binding,primary,,FBGN0010342-MONOMER
13522,ORF,primary,,FBGN0033221-MONOMER
13523,protein binding//zinc ion binding,primary,,FBGN0086916-MONOMER
13524,RNA-directed DNA polymerase activity,primary,1381,FBGN0044441-MONOMER
13525,transcription regulator activity//protein binding//chromatin binding//mRNA binding,primary,,FBGN0002775-MONOMER
13526,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,,FBGN0035473-MONOMER
13527,trypsin activity,primary,823,FBGN0038727-MONOMER
13528,ORF,primary,,FBGN0034284-MONOMER
13529,unfolded protein binding,primary,,FBGN0038976-MONOMER
13530,glutamate-cysteine ligase activity,primary,869,FBGN0040319-MONOMER
13531,ORF,primary,,FBGN0039106-MONOMER
13532,ATP-dependent RNA helicase activity,primary,641,FBGN0038889-MONOMER
13533,ORF,primary,,FBGN0036504-MONOMER
13534,ORF,primary,,FBGN0038158-MONOMER
13535,receptor binding,primary,,FBGN0002526-MONOMER
13536,ORF,primary,,FBGN0051921-MONOMER
13537,transmembrane receptor activity//G-protein coupled receptor activity//cell adhesion molecule binding//receptor signaling protein activity//receptor activity//calcium ion binding,primary,,FBGN0024836-MONOMER
13538,dodecenoyl-CoA delta-isomerase activity,primary,562,FBGN0032162-MONOMER
13539,lysozyme activity,primary,249,FBGN0004428-MONOMER
13540,ORF,primary,,FBGN0034059-MONOMER
13541,ORF,primary,,FBGN0038396-MONOMER
13542,endopeptidase activity,primary,,FBGN0015283-MONOMER
13543,N-acetylglucosamine-6-sulfatase activity,primary,1279,FBGN0050059-MONOMER
13544,ORF,primary,,FBGN0031008-MONOMER
13545,ORF,primary,,FBGN0033680-MONOMER
13546,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity,primary,462,FBGN0034665-MONOMER
13547,ORF,primary,,FBGN0051161-MONOMER
13548,glucose transmembrane transporter activity,primary,,FBGN0050035-MONOMER
13549,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0033598-MONOMER
13550,ORF,primary,,FBGN0036588-MONOMER
13551,ORF,primary,,FBGN0036089-MONOMER
13552,ORF,primary,,FBGN0032170-MONOMER
13553,ORF,primary,,FBGN0043070-MONOMER
13554,ORF,primary,,FBGN0038487-MONOMER
13555,ORF,primary,,FBGN0038999-MONOMER
13556,DNA binding,primary,,FBGN0035238-MONOMER
13557,taste receptor activity,primary,,FBGN0045502-MONOMER
13558,ORF,primary,,FBGN0037473-MONOMER
13559,ORF,primary,,FBGN0259895-MONOMER
13560,snoRNA binding//protein binding,primary,,FBGN0010926-MONOMER
13561,ion channel activity,primary,,FBGN0060296-MONOMER
13562,enteropeptidase activity,primary,1355,FBGN0031619-MONOMER
13563,ORF,primary,,FBGN0037124-MONOMER
13564,zinc ion binding//nucleic acid binding,primary,,FBGN0035454-MONOMER
13565,serine-type endopeptidase activity,primary,,FBGN0032638-MONOMER
13566,phenylalanine 4-monooxygenase activity,primary,1261,FBGN0020921-MONOMER
13567,protein binding,primary,,FBGN0010105-MONOMER
13568,protein binding,primary,,FBGN0035087-MONOMER
13569,ORF,primary,,FBGN0050190-MONOMER
13570,binding//transmembrane transporter activity,primary,,FBGN0036808-MONOMER
13571,protein binding,primary,,FBGN0029997-MONOMER
13572,ORF,primary,,FBGN0039313-MONOMER
13573,ORF,primary,,FBGN0053060-MONOMER
13574,binding,primary,,FBGN0259818-MONOMER
13575,heat shock protein binding,primary,,FBGN0058380-MONOMER
13576,binding,primary,,FBGN0037970-MONOMER
13577,deoxyribose-phosphate aldolase activity,primary,241,FBGN0020025-MONOMER
13578,DNA binding,primary,,FBGN0051611-MONOMER
13579,transcription activator activity//RNA polymerase II transcription factor activity//transcription factor binding//zinc ion binding//nucleic acid binding,primary,,FBGN0000233-MONOMER
13580,ORF,primary,,FBGN0053294-MONOMER
13581,ORF,primary,,FBGN0031377-MONOMER
13582,zinc ion binding//nucleic acid binding,primary,,FBGN0031894-MONOMER
13583,ORF,primary,,FBGN0054033-MONOMER
13584,ORF,primary,,FBGN0033481-MONOMER
13585,ORF,primary,,FBGN0032455-MONOMER
13586,citrate transmembrane transporter activity,primary,,FBGN0041150-MONOMER
13587,ubiquitin thiolesterase activity,primary,1532,FBGN0030370-MONOMER
13588,ORF,primary,,FBGN0031861-MONOMER
13589,structural constituent of ribosome,primary,,FBGN0003274-MONOMER
13590,neprilysin activity,primary,211,FBGN0039612-MONOMER
13591,ORF,primary,,FBGN0035865-MONOMER
13592,endopeptidase activity,primary,,FBGN0028688-MONOMER
13593,GTPase activity,primary,1171,FBGN0003205-MONOMER
13594,protein serine/threonine kinase activity,primary,1451,FBGN0038736-MONOMER
13595,ORF,primary,,FBGN0051601-MONOMER
13596,N-acetyltransferase activity,primary,,FBGN0031974-MONOMER
13597,DNA binding,primary,,FBGN0033971-MONOMER
13598,endoribonuclease activity,primary,1451,FBGN0041204-MONOMER
13599,RNA polymerase II transcription mediator activity,primary,,FBGN0040339-MONOMER
13600,ORF,primary,,FBGN0050154-MONOMER
13601,G-protein coupled receptor activity//protein binding,primary,,FBGN0030466-MONOMER
13602,protein binding//zinc ion binding,primary,,FBGN0037384-MONOMER
13603,ORF,primary,,FBGN0052214-MONOMER
13604,"ATPase activity, coupled to transmembrane movement of substances",primary,641,FBGN0003515-MONOMER
13605,nucleotide binding//mRNA binding//RNA binding,primary,,FBGN0038345-MONOMER
13606,protein kinase CK2 activity,primary,1451,FBGN0015300-MONOMER
13607,histone acetyltransferase activity,primary,1459,FBGN0014340-MONOMER
13608,ORF,primary,,FBGN0037094-MONOMER
13609,membrane alanyl aminopeptidase activity,primary,1041,FBGN0039640-MONOMER
13610,unfolded protein binding//heat shock protein binding,primary,,FBGN0038127-MONOMER
13611,cAMP-dependent protein kinase activity,primary,1445,FBGN0015723-MONOMER
13612,electron carrier activity//heme binding//transition metal ion binding,primary,,FBGN0036575-MONOMER
13613,pyridoxamine-phosphate oxidase activity,primary,657,FBGN0051473-MONOMER
13614,binding//protein transporter activity,primary,,FBGN0038574-MONOMER
13615,"racemase and epimerase activity, acting on carbohydrates and derivatives",primary,,FBGN0033087-MONOMER
13616,ORF,primary,,FBGN0051869-MONOMER
13617,binding//catalytic activity,primary,,FBGN0038038-MONOMER
13618,ORF,primary,,FBGN0031268-MONOMER
13619,serine-type endopeptidase inhibitor activity,primary,,FBGN0038384-MONOMER
13620,calmodulin binding//diacylglycerol binding,primary,,FBGN0025726-MONOMER
13621,ORF,primary,,FBGN0031723-MONOMER
13622,glucuronosyltransferase activity,primary,527,FBGN0032713-MONOMER
13623,hormone activity,primary,,FBGN0011559-MONOMER
13624,protein binding,primary,,FBGN0026176-MONOMER
13625,glycine-tRNA ligase activity,primary,1430,FBGN0027088-MONOMER
13626,ORF,primary,,FBGN0037669-MONOMER
13627,ORF,primary,,FBGN0030866-MONOMER
13628,ATP binding,primary,1451,FBGN0031441-MONOMER
13629,ORF,primary,,FBGN0032309-MONOMER
13630,structural constituent of ribosome,primary,,FBGN0026741-MONOMER
13631,ORF,primary,,FBGN0051664-MONOMER
13632,transcription repressor activity//specific RNA polymerase II transcription factor activity//specific transcriptional repressor activity//protein binding//chromatin binding//zinc ion binding//nucleic acid binding,primary,,FBGN0003870-MONOMER
13633,ORF,primary,,FBGN0053051-MONOMER
13634,high affinity inorganic phosphate:sodium symporter activity,primary,,FBGN0031307-MONOMER
13635,trypsin activity,primary,823,FBGN0052755-MONOMER
13636,unfolded protein binding//chaperone binding,primary,,FBGN0037893-MONOMER
13637,ORF,primary,,FBGN0039379-MONOMER
13638,translation initiation factor activity//RNA binding//RNA cap binding,primary,,FBGN0040368-MONOMER
13639,polypeptide N-acetylgalactosaminyltransferase activity,primary,678,FBGN0050463-MONOMER
13640,ORF,primary,,FBGN0035960-MONOMER
13641,ORF,primary,,FBGN0053924-MONOMER
13642,unfolded protein binding,primary,,FBGN0031296-MONOMER
13643,transcription factor activity,primary,,FBGN0020426-MONOMER
13644,ORF,primary,,FBGN0038679-MONOMER
13645,endopeptidase inhibitor activity,primary,,FBGN0041180-MONOMER
13646,damaged DNA binding,primary,,FBGN0004698-MONOMER
13647,sequence-specific DNA binding//protein heterodimerization activity//RNA polymerase II transcription factor activity//transcription factor activity//protein dimerization activity//protein homodimerization activity,primary,,FBGN0034534-MONOMER
13648,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0020637-MONOMER
13649,ORF,primary,,FBGN0034407-MONOMER
13650,ORF,primary,,FBGN0058445-MONOMER
13651,ORF,primary,,FBGN0034902-MONOMER
13652,ORF,primary,,FBGN0050055-MONOMER
13653,hydrolase activity,primary,,FBGN0051924-MONOMER
13654,ORF,primary,,FBGN0035179-MONOMER
13655,ORF,primary,,FBGN0034664-MONOMER
13656,zinc ion binding,primary,,FBGN0037493-MONOMER
13657,tropomyosin binding//actin binding,primary,,FBGN0004028-MONOMER
13658,ORF,primary,,FBGN0031188-MONOMER
13659,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0035872-MONOMER
13660,ORF,primary,,FBGN0042189-MONOMER
13661,insulin receptor binding,primary,,FBGN0003136-MONOMER
13662,ORF,primary,,FBGN0034408-MONOMER
13663,ORF,primary,,FBGN0033467-MONOMER
13664,serine-type peptidase activity,primary,,FBGN0022400-MONOMER
13665,serine-type endopeptidase inhibitor activity,primary,,FBGN0002930-MONOMER
13666,ORF,primary,,FBGN0037674-MONOMER
13667,ORF,primary,,FBGN0083977-MONOMER
13668,ORF,primary,,FBGN0039089-MONOMER
13669,aconitate hydratase activity,primary,301,FBGN0010100-MONOMER
13670,protein kinase C binding,primary,1451,FBGN0000163-MONOMER
13671,metal ion transmembrane transporter activity,primary,,FBGN0039714-MONOMER
13672,ORF,primary,,FBGN0053322-MONOMER
13673,electron carrier activity//copper ion binding//zinc ion binding,primary,,FBGN0036479-MONOMER
13674,ORF,primary,,FBGN0035981-MONOMER
13675,"oxidoreductase activity, acting on the CH-CH group of donors",primary,,FBGN0035471-MONOMER
13676,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//transcription factor activity//steroid hormone receptor activity//zinc ion binding,primary,,FBGN0037436-MONOMER
13677,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity,primary,,FBGN0031209-MONOMER
13678,ORF,primary,,FBGN0037724-MONOMER
13679,binding,primary,,FBGN0033676-MONOMER
13680,cyclin-dependent protein kinase regulator activity,primary,,FBGN0039858-MONOMER
13681,binding,primary,,FBGN0036772-MONOMER
13682,asparagine synthase (glutamine-hydrolyzing) activity,primary,1001,FBGN0032997-MONOMER
13683,ORF,primary,,FBGN0031685-MONOMER
13684,ORF,primary,,FBGN0033216-MONOMER
13685,ORF,primary,,FBGN0033076-MONOMER
13686,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//protein binding//transcription factor activity//steroid hormone receptor activity//receptor activity//zinc ion binding,primary,,FBGN0003651-MONOMER
13687,ORF,primary,,FBGN0037814-MONOMER
13688,ORF,primary,,FBGN0039647-MONOMER
13689,endopeptidase inhibitor activity//catalytic activity,primary,,FBGN0038318-MONOMER
13690,hydrolase activity//serine hydrolase activity,primary,,FBGN0020545-MONOMER
13691,ORF,primary,,FBGN0033375-MONOMER
13692,ORF,primary,,FBGN0052192-MONOMER
13693,nucleoside-triphosphatase activity,primary,669,FBGN0015376-MONOMER
13694,transcription factor activity,primary,,FBGN0003270-MONOMER
13695,G-protein coupled receptor activity,primary,,FBGN0034219-MONOMER
13696,transcription factor activity,primary,,FBGN0042696-MONOMER
13697,Rab GTPase activator activity,primary,,FBGN0031304-MONOMER
13698,ORF,primary,,FBGN0032127-MONOMER
13699,ubiquitin-protein ligase activity,primary,1480,FBGN0029996-MONOMER
13700,ORF,primary,,FBGN0052174-MONOMER
13701,calcium ion binding,primary,,FBGN0039374-MONOMER
13702,ORF,primary,,FBGN0030763-MONOMER
13703,serine hydrolase activity,primary,,FBGN0038974-MONOMER
13704,ORF,primary,,FBGN0030156-MONOMER
13705,peroxidase activity,primary,475,FBGN0004577-MONOMER
13706,ORF,primary,,FBGN0038849-MONOMER
13707,ORF,primary,,FBGN0038977-MONOMER
13708,zinc ion binding,primary,,FBGN0015025-MONOMER
13709,ORF,primary,,FBGN0037149-MONOMER
13710,ORF,primary,,FBGN0038331-MONOMER
13711,ORF,primary,,FBGN0037481-MONOMER
13712,ORF,primary,,FBGN0033605-MONOMER
13713,ORF,primary,,FBGN0085667-MONOMER
13714,ORF,primary,,FBGN0031760-MONOMER
13715,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//transcription corepressor activity//protein binding//transcription coactivator activity//NAD binding//protein C-terminus binding",primary,,FBGN0020496-MONOMER
13716,RNA-directed DNA polymerase activity,primary,1381,FBGN0063780-MONOMER
13717,metallopeptidase activity//zinc ion binding//general RNA polymerase II transcription factor activity,primary,,FBGN0011836-MONOMER
13718,thiosulfate sulfurtransferase activity,primary,161,FBGN0038080-MONOMER
13719,structural constituent of cytoskeleton//ATP binding//actin binding,primary,,FBGN0011744-MONOMER
13720,ORF,primary,,FBGN0052115-MONOMER
13721,ORF,primary,,FBGN0030340-MONOMER
13722,ORF,primary,,FBGN0029857-MONOMER
13723,ORF,primary,,FBGN0030569-MONOMER
13724,ORF,primary,,FBGN0031778-MONOMER
13725,ORF,primary,,FBGN0085657-MONOMER
13726,glutathione transferase activity,primary,650,FBGN0033817-MONOMER
13727,GTPase activity,primary,1171,FBGN0014029-MONOMER
13728,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0039058-MONOMER
13729,taste receptor activity,primary,,FBGN0041244-MONOMER
13730,protein binding//structural molecule activity,primary,,FBGN0028968-MONOMER
13731,serine-type endopeptidase inhibitor activity,primary,,FBGN0051609-MONOMER
13732,neuropeptide receptor activity//tachykinin receptor activity,primary,,FBGN0004622-MONOMER
13733,ORF,primary,,FBGN0086371-MONOMER
13734,ORF,primary,,FBGN0031040-MONOMER
13735,ORF,primary,,FBGN0030675-MONOMER
13736,extracellular-glycine-gated chloride channel activity//chloride channel activity//neurotransmitter receptor activity//GABA-A receptor activity,primary,,FBGN0036542-MONOMER
13737,transporter activity,primary,,FBGN0050272-MONOMER
13738,protein binding,primary,,FBGN0032725-MONOMER
13739,ORF,primary,,FBGN0085617-MONOMER
13740,myosin I binding,primary,,FBGN0033212-MONOMER
13741,nucleotide binding//nucleic acid binding,primary,,FBGN0030956-MONOMER
13742,ORF,primary,,FBGN0259709-MONOMER
13743,ORF,primary,,FBGN0036483-MONOMER
13744,protein binding,primary,,FBGN0029094-MONOMER
13745,transporter activity//receptor binding,primary,,FBGN0031804-MONOMER
13746,ORF,primary,,FBGN0033770-MONOMER
13747,protease inhibitor activity//serine-type endopeptidase inhibitor activity,primary,,FBGN0038654-MONOMER
13748,microtubule motor activity//binding,primary,,FBGN0010235-MONOMER
13749,protein serine/threonine kinase activity,primary,1451,FBGN0027587-MONOMER
13750,nucleotide binding//nucleic acid binding,primary,,FBGN0052169-MONOMER
13751,ORF,primary,,FBGN0083968-MONOMER
13752,zinc ion binding//nucleic acid binding,primary,,FBGN0013469-MONOMER
13753,regulator of G-protein signaling activity,primary,,FBGN0028838-MONOMER
13754,ORF,primary,,FBGN0020767-MONOMER
13755,signal transducer activity,primary,,FBGN0052397-MONOMER
13756,electron carrier activity//transporter activity//copper ion binding//protease inhibitor activity,primary,,FBGN0032797-MONOMER
13757,triacylglycerol lipase activity,primary,309,FBGN0023496-MONOMER
13758,ORF,primary,,FBGN0047114-MONOMER
13759,protein binding//mRNA binding//RNA binding,primary,,FBGN0000182-MONOMER
13760,RNA polymerase II transcription mediator activity//protein binding//cyclin-dependent protein kinase regulator activity,primary,,FBGN0004597-MONOMER
13761,cyclin-dependent protein kinase regulator activity,primary,,FBGN0025674-MONOMER
13762,ribonuclease H activity,primary,1381,FBGN0020418-MONOMER
13763,axon guidance receptor activity,primary,,FBGN0041097-MONOMER
13764,binding//Ran GTPase binding//protein transporter activity,primary,,FBGN0053139-MONOMER
13765,ORF,primary,,FBGN0050065-MONOMER
13766,G-protein coupled receptor activity//rhodopsin-like receptor activity,primary,,FBGN0025632-MONOMER
13767,inorganic diphosphatase activity,primary,473,FBGN0016687-MONOMER
13768,RNA binding,primary,,FBGN0031637-MONOMER
13769,protein binding,primary,,FBGN0033963-MONOMER
13770,ORF,primary,,FBGN0058162-MONOMER
13771,ORF,primary,,FBGN0032454-MONOMER
13772,DNA binding//transcription factor activity,primary,,FBGN0041111-MONOMER
13773,protein serine/threonine kinase activity,primary,1451,FBGN0041203-MONOMER
13774,structural constituent of cytoskeleton//protein binding,primary,,FBGN0038576-MONOMER
13775,leucyl aminopeptidase activity,primary,1511,FBGN0040493-MONOMER
13776,dipeptidyl-peptidase IV activity,primary,980,FBGN0058260-MONOMER
13777,ORF,primary,,FBGN0037441-MONOMER
13778,guanyl-nucleotide exchange factor activity,primary,,FBGN0031216-MONOMER
13779,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity//kainate selective glutamate receptor activity,primary,,FBGN0026255-MONOMER
13780,ORF,primary,,FBGN0025835-MONOMER
13781,olfactory receptor activity//odorant binding,primary,,FBGN0041625-MONOMER
13782,oxalyl-CoA decarboxylase activity,primary,1051,FBGN0034488-MONOMER
13783,phosphopantetheine binding//protein binding//transcription factor activity//zinc ion binding,primary,,FBGN0086758-MONOMER
13784,ORF,primary,,FBGN0034961-MONOMER
13785,transcription repressor activity//DNA binding//transcription activator activity//transcription factor activity,primary,,FBGN0004795-MONOMER
13786,heme transporter activity,primary,,FBGN0029117-MONOMER
13787,"delta5-delta2,4-dienoyl-CoA isomerase activity",primary,,FBGN0039531-MONOMER
13788,oxidoreductase activity,primary,,FBGN0042131-MONOMER
13789,transporter activity,primary,,FBGN0053126-MONOMER
13790,structural constituent of ribosome,primary,,FBGN0036990-MONOMER
13791,ORF,primary,,FBGN0050099-MONOMER
13792,neurotransmitter:sodium symporter activity,primary,,FBGN0035969-MONOMER
13793,taste receptor activity,primary,,FBGN0035870-MONOMER
13794,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0052199-MONOMER
13795,ORF,primary,,FBGN0038508-MONOMER
13796,amino acid transmembrane transporter activity,primary,,FBGN0031064-MONOMER
13797,G-protein coupled receptor activity//neuropeptide receptor activity//protein binding//protein-hormone receptor activity,primary,,FBGN0003255-MONOMER
13798,zinc ion binding//nucleic acid binding,primary,,FBGN0029939-MONOMER
13799,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,,FBGN0001983-MONOMER
